Recorded.Value..dBA.,Date,Time,location
75.1,2025-04-25,09:55:41.692,21st_littlefield_fountain
73.0,2025-04-25,09:55:41.902,21st_littlefield_fountain
77.2,2025-04-25,09:55:42.112,21st_littlefield_fountain
77.5,2025-04-25,09:55:42.322,21st_littlefield_fountain
77.6,2025-04-25,09:55:42.532,21st_littlefield_fountain
73.4,2025-04-25,09:55:42.742,21st_littlefield_fountain
70.9,2025-04-25,09:55:42.952,21st_littlefield_fountain
66.8,2025-04-25,09:55:43.162,21st_littlefield_fountain
68.0,2025-04-25,09:55:43.372,21st_littlefield_fountain
66.6,2025-04-25,09:55:43.582,21st_littlefield_fountain
67.4,2025-04-25,09:55:43.792,21st_littlefield_fountain
66.7,2025-04-25,09:55:44.002,21st_littlefield_fountain
68.3,2025-04-25,09:55:44.212,21st_littlefield_fountain
68.2,2025-04-25,09:55:44.422,21st_littlefield_fountain
69.1,2025-04-25,09:55:44.632,21st_littlefield_fountain
65.6,2025-04-25,09:55:44.842,21st_littlefield_fountain
68.5,2025-04-25,09:55:45.052,21st_littlefield_fountain
73.6,2025-04-25,09:55:45.262,21st_littlefield_fountain
75.7,2025-04-25,09:55:45.472,21st_littlefield_fountain
71.8,2025-04-25,09:55:45.682,21st_littlefield_fountain
73.7,2025-04-25,09:55:45.892,21st_littlefield_fountain
74.6,2025-04-25,09:55:46.102,21st_littlefield_fountain
69.7,2025-04-25,09:55:46.312,21st_littlefield_fountain
73.1,2025-04-25,09:55:46.522,21st_littlefield_fountain
69.5,2025-04-25,09:55:46.732,21st_littlefield_fountain
66.1,2025-04-25,09:55:46.942,21st_littlefield_fountain
66.5,2025-04-25,09:55:47.152,21st_littlefield_fountain
73.7,2025-04-25,09:55:47.362,21st_littlefield_fountain
74.5,2025-04-25,09:55:47.572,21st_littlefield_fountain
68.6,2025-04-25,09:55:47.782,21st_littlefield_fountain
69.1,2025-04-25,09:55:47.992,21st_littlefield_fountain
69.4,2025-04-25,09:55:48.202,21st_littlefield_fountain
72.0,2025-04-25,09:55:48.412,21st_littlefield_fountain
77.8,2025-04-25,09:55:48.622,21st_littlefield_fountain
70.7,2025-04-25,09:55:48.832,21st_littlefield_fountain
70.1,2025-04-25,09:55:49.042,21st_littlefield_fountain
71.7,2025-04-25,09:55:49.252,21st_littlefield_fountain
72.2,2025-04-25,09:55:49.462,21st_littlefield_fountain
72.4,2025-04-25,09:55:49.672,21st_littlefield_fountain
70.7,2025-04-25,09:55:49.882,21st_littlefield_fountain
71.1,2025-04-25,09:55:50.092,21st_littlefield_fountain
71.9,2025-04-25,09:55:50.302,21st_littlefield_fountain
72.0,2025-04-25,09:55:50.512,21st_littlefield_fountain
69.9,2025-04-25,09:55:50.722,21st_littlefield_fountain
68.8,2025-04-25,09:55:50.932,21st_littlefield_fountain
